ChEMBL_ID,SMILES
CHEMBL2425600,COC[C@@H](Oc1cc(C[C@@H]2C[S@@+]([O-])C[C@H](NCc3cc(C(C)(C)C)ccc3F)[C@H]2O)cc(F)c1N)C(F)(F)F
CHEMBL3639946,CN1C(=O)CC2(N=C1N)c1cc(-c3cccnc3F)ccc1Oc1c2cc(-c2ccnc(F)c2)nc1F
CHEMBL3127098,NC1=N[C@@]2(CS1)c1cc(-c3cccnc3F)ccc1O[C@@H]1CCOC[C@H]12
CHEMBL260635,CN(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(Cc3ccc(F)cc3)C(=O)N2)c1
CHEMBL3986498,COc1cnc(C(=O)Nc2ccc(F)c([C@@]34N=C(N)SC[C@@H]3CCO4)c2)cn1
CHEMBL2346794,CC1(C)Cc2cc(Cl)ccc2C(NC(Cc2ccccc2)c2ncccn2)=N1
CHEMBL4128947,COc1cccc(-c2nc(SC(C(N)=O)c3nc(-c4ccccc4)cs3)[nH]c(=O)c2C#N)c1
CHEMBL2059329,OC(CSc1ccc2ccccc2c1)Cn1ccc2ccccc21
CHEMBL2178200,COc1ccc(-c2noc(C)c2C(=O)/N=C(\N)NCc2cc(Cl)cc(Cl)c2)cc1
CHEMBL3677277,NC1=N[C@]2(c3cc(-c4cccnc4F)ccc3Oc3c(F)cc(N4CCOCC4)cc32)c2nccn21
CHEMBL4854848,CC1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)Cc2cncc(F)c2C(N)=N1
CHEMBL3670915,CC1(C)OCC(N)=N[C@](C)(c2cc(N[C@@H]3CCc4cc(C#N)cnc43)ccc2F)C1(F)F
CHEMBL4464845,Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@@]2(C)N=C(N)[C@]3(C)CC[C@H]2S3(=O)=O)c1
CHEMBL3670327,C[C@@]1(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)C=CSC(N)=N1
CHEMBL1934194,COc1c2occc2c(OCC=C(C)C)c2ccc(=O)oc12
CHEMBL2181997,COC(=O)[C@H]1C[C@]2(CN1)C(=O)Nc1ccccc12
CHEMBL4284107,CN(C)Cc1ccccc1-c1ccc(NCCCN2CCCCC2)c(OCCN2CCCCC2)c1
CHEMBL213904,O=C(Nc1cc(Br)ccc1N1CCN(CCO)CC1)c1cccc2ccccc12
CHEMBL1270436,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(OCCC=C(F)F)c2)N=C1N
CHEMBL3640240,CCCCc1ccc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)SCC3(F)F)c2)nc1
CHEMBL3894188,COc1cnc(C(=O)Nc2ccc3c(c2)C2(CCSC(N)=N2)c2cc(-c4ccnc(F)c4)nc(F)c2O3)cn1
CHEMBL4114125,C[C@]1(c2cc(NC3CCc4cc(Cl)ccc43)ccc2F)COCC(N)=N1
CHEMBL1087609,CC(C)CNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1
CHEMBL1164644,NC(=O)c1ccc[n+](CC(=O)Nc2cccc(NC(=O)c3ccccc3)c2)c1.[Cl-]
CHEMBL2178178,COc1ccc(-c2nsc(C)c2C(=O)/N=C(\N)NCc2cc(Cl)c(N)c(Cl)c2)cc1
CHEMBL5184716,COc1cnc(-c2ccc(F)c([C@]3(CF)CC[C@](C)(C#N)C(N)=N3)c2)cn1
CHEMBL5197842,C[C@@]1(C(F)F)C(=N)N[C@](C)(c2nc(NC(=O)c3ccc(C#N)cn3)ccc2F)CS1(=O)=O
CHEMBL4521954,C[C@@]1(c2cccc(NC(=O)c3ccc(C#N)cn3)c2)Cn2nccc2C(N)=N1
CHEMBL3680884,C[C@]1(c2cc(NC(=O)C3CC3)ccc2F)N=C(N)OC[C@@H]1F
CHEMBL2396987,C[C@@]1(c2ccccc2)CCSC(N)=N1
CHEMBL238087,CC1(c2ccccc2)CC(=O)NC(N)=N1
CHEMBL455667,C=C(C)[C@H](CCC(C)(C)O)Cc1c(O)cc(OC)c2c1O[C@H](c1ccc(O)cc1O)CC2=O
CHEMBL311498,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2
CHEMBL2047228,Cc1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1
CHEMBL211499,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C\CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1
CHEMBL4212215,O=S(=O)(c1ccc(Cl)cc1)N(CC(O)Cn1c2ccccc2c2ccccc21)C1CCCCC1
CHEMBL3707021,COc1ccc2c(c1)CCC2(Cc1ccc(C(F)(F)F)cc1)c1cn(C)c(N)n1
CHEMBL4209354,COc1ccccc1[C@]12CO[C@@H](C)C[C@H]1CSC(N)=N2
CHEMBL3653710,CC1=NC2(CCCc3ccc(-c4cncc(Cl)c4)cc32)N=C1N
CHEMBL3673210,COC1CCC2(CC1)Cc1ccc(C#CC3CC3)cc1C21N=C(N)N2CCCN=C21
CHEMBL1824349,CCc1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cs1
CHEMBL539653,COc1cccc(CNC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cccc(N(c3ccccc3)S(C)(=O)=O)c2)c1
CHEMBL2047897,CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3ccc4[nH]ccc4c3)[C@@H]2O)c1
CHEMBL4061602,C[C@@H](NCc1cc([C@]2(C)CCSC(N)=N2)c(F)cc1F)C(F)(F)F
CHEMBL3913558,CO[C@H]1CC[C@]2(CC1)Cc1ccc(NC(=O)c3ncc(Br)cn3)cc1C21N=C(C)C(N)=N1
CHEMBL4453051,c1ccc(CNC2CCN(Cc3ccccc3)CC2)cc1
CHEMBL3919475,C[C@@]1(c2cc(Nc3cccc4cc(OC(F)F)cnc34)ccc2F)COCC(N)=N1
CHEMBL2403761,CN1C(=O)C(C)(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)N=C1N
CHEMBL2177301,CCn1cc(C2(c3cccc(-c4cncc(F)c4)c3)N=C(N)c3c(F)cccc32)cc(C)c1=O
CHEMBL3672406,O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1c[nH]c2ccccc12
CHEMBL4525199,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)Cn2ccnc2C(N)=N1
CHEMBL1164484,C[C@@]12CC[C@@H](O)[C@@H]3COC(=C31)C(=O)c1cc3ccccc3cc12
CHEMBL1719948,CC(C)(O)CCc1c(-c2ccc(O)cc2O)oc2c3c(cc(O)c2c1=O)OC(C)(C)C=C3
CHEMBL442238,CC(C)N1CCCCc2cccc(c2)C[C@@](C)(N)C(=O)OCc2cc1nc(N(C)S(C)(=O)=O)c2
CHEMBL3927467,NC1=NC2(CCS1)c1cc(Br)ccc1CC21CCc2ccccc2CC1
CHEMBL1762555,O=C1C(c2ccc(O)cc2)=CC(=O)c2c(O)cccc21
CHEMBL4848996,CN1C(N)=N[C@](C)(c2cc(-n3[se]c4ccc(F)cc4c3=O)ccc2F)CS1(=O)=O
CHEMBL1258002,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cnn(CC(C)(C)C)c2)CC1
CHEMBL585215,NC1=NC(c2ccccc2)(C2CCCCC2)C(=O)N1Cc1ccccc1
CHEMBL3703223,NC1=NC2(CO1)c1cc(Br)c(F)cc1OCC21CC1
CHEMBL3925501,CN1C(=O)C2(N=C1N)c1cc(-c3cccnc3)ccc1OC21CCc2ccccc2CC1
CHEMBL3924839,Cc1onc2c1CC1(CC2)Cc2ccc(C#CC3CC3)cc2C12N=C(N)N(C)C2=O
CHEMBL3653357,CC1(c2cccc(NC(=O)c3cnc(O)cn3)c2)COCC(N)=N1
CHEMBL1915977,COC[C@H]1CCN([C@@H](CCc2ccccc2)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)C1=O
CHEMBL3677244,COCOc1cc(O)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc(O)cc1
CHEMBL3670913,C[C@]1(c2cc(Nc3ccc(C#N)cc3)ccc2F)N=C(N)COCC1(F)F
CHEMBL3640231,C[C@@]1(c2cc(NC(=O)CCc3cccc(N)c3)ccc2F)CCSC(N)=N1
CHEMBL1209420,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(N3CC4CCC3C4)c2)CC1
CHEMBL573378,CO[C@@H](COc1ccccc1)C[C@H](O)[C@H](COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1
CHEMBL463864,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc2c1CCCO2)c1ccc(F)cc1
CHEMBL401338,COc1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)CCS(=O)(=O)NCCC(C)C)c1
CHEMBL3908739,COC1CCN(C(=O)Nc2ccc(F)c([C@]3(C)C[C@@H](C(F)(F)F)OC(N)=N3)c2)CC1
CHEMBL3653661,CC1=NC2(CCOc3ccc(NC(=O)c4ccc(C(F)(F)F)cn4)cc32)N=C1N
CHEMBL3690085,C#CCOc1cnc(C(=O)Nc2cccc(C3(C)CC(=O)N(C)C(N)=N3)c2)cn1
CHEMBL61236,Nc1ccc2ccccc2n1
CHEMBL1163230,Clc1ccc(/C=N/Nc2nc(Nc3cccc(Br)c3)nc(N3CCOCC3)n2)cc1
CHEMBL5270454,COc1nc(N)nc(Nc2ccccc2)c1/N=C/Cc1ccccc1Cl
CHEMBL1762687,CC(=O)Oc1cc(-c2ccccc2)c(OC(C)=O)c(-c2ccccc2)c1
CHEMBL3236220,O=C(NC1CCCCC1)c1c[nH]c2ccc(S(=O)(=O)Nc3ccc(C(F)(F)F)cc3)cc2c1=O
CHEMBL4204085,Cc1ccc(N(CC(O)Cn2c3ccccc3c3ccccc32)S(=O)(=O)c2ccccc2)cc1
CHEMBL1923706,CC(C)(C)Nc1c(-c2ccc(-c3nc4ccccc4[nH]3)cc2)nc2ccccn12
CHEMBL3752467,c1ccc2oc(CNCCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc2c1
CHEMBL1923700,C[C@H](NC(=O)c1cc(-c2nc3ccccc3[nH]2)cc(N(C)S(C)(=O)=O)c1)c1ccccc1
CHEMBL4071284,O=C(Nc1ccncc1)c1cccc(-c2cnc(-c3c[nH]c4ccccc34)[nH]2)c1
CHEMBL5190569,COc1cc(/C=C/c2nnc(-c3ccc(C(F)(F)F)cc3)o2)ccc1O
CHEMBL2151179,CC#Cc1cncc(-c2ccc([C@]3(C)CC(=O)N(C)C(=N)N3)s2)c1
