molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL3642608,5900.0,nM,CC1(c2cccc(/C=C/c3ccc(Cl)cn3)c2)CCSC(N)=N1,5.229147988357856,343.09099625600004,4,1,4.572200000000004,True
CHEMBL3950821,5900.0,nM,CC1(c2cccc(C=Cc3ccc(Cl)cn3)c2)CCSC(=N)N1,5.229147988357856,343.09099625600004,3,2,4.781870000000004,True
CHEMBL1933459,5950.0,nM,Nc1nc(Cc2ccc(-c3cccc4oc5ccccc5c34)cc2)cn1Cc1ccccc1Cl,5.22548303427145,463.145140004,4,1,7.324200000000006,True
CHEMBL3640250,5960.0,nM,C[C@@]1(c2cc(NC(=O)CCc3ccc(O)c(O)c3)ccc2F)CCSC(N)=N1,5.224753740259764,403.136590784,6,4,3.4750000000000023,True
CHEMBL3688802,5995.0,nM,C=C1CC(CNc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)C1,5.222210812565132,351.15584692,4,2,3.3976000000000015,True
CHEMBL129451,6000.0,nM,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,5.221848749616356,442.0899967759999,10,7,2.5276000000000005,True
CHEMBL394224,6000.0,nM,CN(c1cc2cc(n1)N(CC1CC1)CCCCc1cccc(c1)C[C@@](C)(N)C(=O)OC2)S(C)(=O)=O,5.221848749616356,500.2457266319999,7,1,3.033400000000001,True
CHEMBL2011992,6000.0,nM,CN1C(=N)NC(c2cccc(-c3cccc(Cl)c3)c2)(C2(C)CC2)C1=O,5.221848749616356,353.1294899399999,2,2,3.998770000000002,True
CHEMBL3109549,6010.0,nM,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(CC3CCCCC3)C2=O)cc1,5.221125527997261,407.22089178799996,4,2,3.8942700000000032,True
CHEMBL3109548,6010.0,nM,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCN(C(=O)OC(C)(C)C)CC3)C2=O)cc1,5.221125527997261,494.2529201879999,6,2,3.7134700000000027,True
CHEMBL3765319,6040.0,nM,O=C(/C=C/c1ccc(OCc2ccccc2)cc1)CC(=O)/C=C/c1ccc(OCc2ccccc2)cc1,5.218963061378868,488.19875937599994,4,0,7.099500000000006,True
CHEMBL1645526,6100.0,nM,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NCC(O)C(=O)O,5.214670164989233,499.250294396,10,8,-3.5097999999999936,True
CHEMBL2437441,6100.0,nM,CN1C(=O)C[C@@](C)([C@@H]2C[C@H]2c2cccc(-c3cccs3)c2)N=C1N.O=C(O)C(F)(F)F,5.214670164989233,453.133397224,5,2,4.087400000000002,True
CHEMBL487804,6100.0,nM,CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1c(O)cc(C)cc1O,5.214670164989233,328.240230264,2,2,6.367920000000007,True
CHEMBL3703265,6120.0,nM,NC1=NC2(CO1)c1cc(-c3cncc(OCC(F)(F)C(F)F)c3)ccc1OCC21CC1,5.213248577854439,437.13625434799997,6,1,3.7406000000000033,True
CHEMBL3236224,6180.0,nM,Cc1ccccc1-c1ccc2[nH]cc(C(=O)NCc3cccc(C(F)(F)F)c3)c(=O)c2c1,5.209011524911184,436.13986250799996,2,2,5.452320000000003,True
CHEMBL3890833,6200.0,nM,C[C@H]1C[C@H]2CSC(N)=NC2(c2nc(NC(=O)c3cc4n(n3)CCC4)cs2)CO1,5.207608310501746,418.124565944,9,2,2.2199,True
CHEMBL1208934,6200.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C#N)c2)CCCCC1,5.207608310501746,441.22278360800004,4,3,3.693780000000002,True
